"return_sequence","returned_batch_id","returned_at_hkt","batch_kind","source_ai_batch_id","prompt_version","model_id","surface","position","candidate_id","pool_position","selection_role","question","preview","body","domain","topic_key","question_job","content_horizon","event_family","claim_mode","event_hypothesis_summary","primary_time_window_key","referenced_window_keys","valid_from","valid_until","fact_refs"
"11","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","2","29a2281d-a12c-4bff-b224-5eded7de5205","4","p2_baseline","为何你在职场中总有一种停不下来的紧迫感？","月干丙火七杀紧贴冲克，赋予了你极强的行动力与竞争意识。","你命局中月干丙火七杀透出并冲克庚金，这就像背后有一股力量在不断推着你前进。这种格局让你在事业上极具开拓精神，不甘平庸，但也容易让你长期处于高压状态。你适合在竞争激烈、需要快速决策的环境中发挥才干，但也要学会适时放松，避免过度透支精力。","career","career_direction","explain","baseline","baseline_pattern","description","丙火七杀透干冲身，事业心强但易感压力，适合开拓性工作。","","","1995-11-05","","natal:interaction:natal:stem_control_clash:natal_pillar:day:庚子__natal_pillar:month:丙戌 | natal:pillar:month"
"12","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","3","af379a34-c085-4a9c-885c-27250bf05552","6","p1_mingli_change","2027年是否会迎来职业生涯的向上拐点？","丁火正官坐未土正印，官印相生的年份通常预示着地位的稳固。","展望2027丁未年，丁火正官透出，且与大运癸未构成官印相生的意向。这一年对于职场人士非常有利，尤其是如果你在寻求晋升、评职称或参加重要考试，成功的概率会显著增加。你的专业能力更容易获得上级的认可，职场环境也会变得更加稳定和友好，值得提前规划。","career","opportunity_and_change","forecast","year","opportunity","possibility","2027丁未年官印相生，利于职位晋升、考证或名誉提升。","liunian:2027:丁未","liunian:2027:丁未","2027-02-04","2028-02-03","time:liunian:2027:丁未:timing | time:liunian:2027:丁未:interaction:liunian_to_dayun:branch_same:dayun::癸未__liunian::丁未"
"13","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","0","7c6fa3c6-977a-441e-b438-327a1b2c1bd0","14","p3_diversity","为何这几年是你提升专业技能的黄金期？","伤官星的活跃极大地增强了你的领悟力与表达欲，利于深度学习。","当前癸未大运中，癸水伤官代表着敏锐的直觉和卓越的表达能力。如果你正在学习某种复杂的技术或需要创意产出的技能，这段时间你会感到上手很快，且容易产生独特的见解。建议你利用这股能量，多参加专业培训或尝试写作、演讲，将内在的才华显性化，这会对你的长远发展大有裨益。","study","learning_strengths","explain","phase","cycle_background","description","癸水伤官主聪明才智，大运引动利于技能深度钻研与表达提升。","dayun:2025:癸未","dayun:2025:癸未","2025-02-15","2035-02-14","time:dayun:2025:癸未:timing | time:dayun:2025:癸未:interaction:dayun_to_natal:stem_control_clash:dayun::癸未__natal_pillar:hour:丁亥"
"14","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","1","9ea83aed-a9c5-4295-b071-3111d02a0cc0","15","p3_diversity","2026年，哪些细微的身体信号不容忽视？","流年丙午火势过旺，庚金受克，需重点关注肺部与皮肤健康。","今年流年丙午，火气极旺，对你的日主庚金构成了直接的克制。在健康层面，这容易引发肺部燥热、咽喉不适或皮肤过敏等问题。如果你有吸烟习惯，今年建议适度控烟。同时，火旺也容易导致心火过盛，影响睡眠。建议多食用润肺生津的食物，并保证充足的休息，以平衡流年的燥烈之气。","health","sleep_and_stress","act","year","friction","conditional","2026流年火旺克金，需防范呼吸系统及皮肤过敏问题。","liunian:2026:丙午","liunian:2026:丙午","2026-02-04","2027-02-03","time:liunian:2026:丙午:timing | time:liunian:2026:丙午:interaction:liunian_to_natal:stem_control_clash:liunian::丙午__natal_pillar:day:庚子"
"15","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","2","11ce6ba9-9cce-4a06-8276-bfbcb6d152d0","16","p3_diversity","本月你的财运增长点主要集中在哪里？","乙木正财合身，预示着本月你的努力将直接转化为现实收益。","当前正值乙未月，乙木正财与你日主庚金相合，这是一种非常利于财务稳定的信号。这意味着你本月的收入主要来源于你的本职工作或已经成型的稳定项目。如果你近期在谈合作或申请加薪，现在是展示成果的好时机。只要脚踏实地，你的付出就能得到应有的经济回报，不宜追求偏财或投机。","wealth","income_opportunity","forecast","month","opportunity","possibility","乙未月正财透出，利于通过正职工作或稳定渠道获得收益。","liuyue:2026-07-07:乙未","liuyue:2026-07-07:乙未","2026-07-07","2026-08-06","time:liuyue:2026-07-07:乙未:timing | time:liuyue:2026-07-07:乙未:interaction:liuyue_to_natal:stem_five_combination:liuyue::乙未__natal_pillar:day:庚子"
"16","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","3","46c96465-7d16-4c9a-bb8a-9105a0f7fef8","17","p3_diversity","2026年事业上的高压，究竟是在磨练你什么？","午戌半合火局增强了七杀的力量，这既是压力也是权力的象征。","今年流年午火与月支戌土半合火局，这极大地增强了丙火七杀的能量。在职场中，你可能会感到责任更重了，或是面临更严苛的考核。但从积极的一面看，这种合局也代表着权力的集中。如果你能顶住压力，完成那些高难度的任务，你的职场地位将得到质的飞跃。这不仅是能力的磨练，更是心智的重塑。","career","decision_and_pressure","explain","year","friction","conditional","流年午戌半合引动月令，事业压力增大但利于权责明确。","liunian:2026:丙午","liunian:2026:丙午","2026-02-04","2027-02-03","time:liunian:2026:丙午:interaction:liunian_to_natal:branch_half_harmony:liunian::丙午__natal_pillar:month:丙戌 | time:liunian:2026:丙午:timing"
"17","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","4","cfaec206-0abb-46ba-b5f6-c8966c6c63f8","19","p3_diversity","未来十年，你该如何构建稳固的财富护城河？","大运印星主事，预示着“稳健”与“资产化”是你的财富关键词。","在癸未大运中，未土正印的力量不容忽视。印星代表固定资产、品牌和长期的保障。这意味着你这十年的财富积累不应依赖于短期的投机，而应更多地关注房产、稳健的基金或个人品牌的建设。通过将现金转化为具有增值潜力的实物资产或无形资产，你才能在波动的市场中建立起真正的安全感。","wealth","resource_allocation","act","phase","cycle_background","description","大运未土为正印，这十年利于通过房产、固定资产或长线投资积累财富。","dayun:2025:癸未","dayun:2025:癸未","2025-02-15","2035-02-14","time:dayun:2025:癸未:timing | time:dayun:2025:癸未:interaction:dayun_to_natal:branch_punishment:dayun::癸未__natal_pillar:month:丙戌"
"18","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","5","53e02f8d-548e-43b4-9f71-2c66d9cbbbc3","20","p3_diversity","2028年，你的专业技能将迎来怎样的突破？","戊申年比肩引动日主，预示着你将在同辈交流与实战中获得飞速成长。","展望2028戊申年，流年支申金为你日主庚金的禄地，且与日支子水半合。这一年非常利于你通过团队合作或与优秀的同龄人交流来提升自己。你不再是闭门造车，而是在实战中磨炼技能。如果你有计划攻克某个行业难题或参与大型项目，这一年将是你展现实力并获得实质性进步的关键节点。","study","skill_growth","forecast","year","opportunity","possibility","2028戊申年比肩帮身且申子合水，利于团队协作学习与实战技能提升。","liunian:2028:戊申","liunian:2028:戊申","2028-02-04","2029-02-02","time:liunian:2028:戊申:timing | time:liunian:2028:戊申:interaction:liunian_to_natal:branch_half_harmony:liunian::戊申__natal_pillar:day:庚子"
"19","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","6","d23acccb-e512-459c-89fc-7b69e0537497","21","p3_diversity","经历了两年的波动，2027年你的身体状态会好转吗？","官印相生的流年利于建立规律的生活作息，是调理身体的良机。","相比于2026年的剧烈冲克，2027丁未年的能量场要平和得多。官印相生的结构有助于你建立起更加规律的生活节奏。如果你在过去两年有慢性健康问题或精力透支的情况，明年将是非常适合进行系统调理和康复的一年。通过规律的饮食、适度的运动和充足的睡眠，你的身体机能有望恢复到较佳状态。","health","recovery_and_balance","forecast","year","adjustment","possibility","2027丁未年官印相生，身体素质有望在稳定的节奏中得到修复。","liunian:2027:丁未","liunian:2027:丁未","2027-02-04","2028-02-03","time:liunian:2027:丁未:timing | time:liunian:2027:丁未:interaction:liunian_to_natal:branch_arch_harmony:liunian::丁未__natal_pillar:hour:丁亥"
"20","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","7","0a1e7ac2-5290-4fa8-9e56-8921a7b4e1f4","23","p3_diversity","2027年是否会有更稳定的正缘出现？","丁火正官透干，预示着情感关系可能向更正式、更具承诺的方向发展。","2027年丁火正官透出，对于男命而言，官星也代表责任与稳定的关系。如果你目前正处于一段不确定的感情中，明年可能会有推进至承诺或婚姻阶段的机会。对于单身者，这一年结识的对象往往性格稳重、传统，更符合长远发展的期待。这是一个利于“定下来”的年份，值得你认真对待每一个出现的缘分。","love","new_connection","forecast","year","new_connection","possibility","2027丁未年官星透出，男命利于确立正式且稳定的恋爱关系。","liunian:2027:丁未","liunian:2027:丁未","2027-02-04","2028-02-03","time:liunian:2027:丁未:timing | time:liunian:2027:丁未:interaction:liunian_to_natal:branch_seen_stem_hidden_harmony:liunian::丁未__natal_pillar:hour:丁亥__natal_pillar:year:乙亥"
"21","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","0","16d5d18b-0d02-4a71-9d24-b07be7211b84","12","p2_baseline","这十年大运中，你的情感课题究竟是什么？","大运未土持续穿害夫妻宫子水，预示着情感磨合将是长期的主题。","从2025年开始的癸未大运，未土穿害日支子水，这决定了你这十年的情感基调：虽然不乏缘分，但相处过程中的摩擦与误解也会增多。你的课题在于如何处理“亲密关系中的自我边界”，学会接纳伴侣与自己的不同，而非试图通过控制来获得安全感。理解这一点，能让你在情感中少走弯路。","love","emotional_pattern","explain","phase","cycle_background","description","癸未大运子未相穿，这十年间情感关系往往带有较强的磨合色彩。","dayun:2025:癸未","dayun:2025:癸未","2025-02-15","2035-02-14","time:dayun:2025:癸未:interaction:dayun_to_natal:branch_piercing:dayun::癸未__natal_pillar:day:庚子 | time:dayun:2025:癸未:timing"
"22","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","1","5c91002d-b0af-4203-96ef-a8ea08d11276","13","p2_baseline","当前大运下，你的事业发展呈现出怎样的趋势？","癸水伤官克制丁火正官，这十年是你寻求突破与转型的关键期。","在癸未大运中，癸水伤官透出并克制时干丁火正官。这种“伤官见官”的组合，反映出你对现状的不满和强烈的创新欲望。你可能会频繁产生创业、跳槽或跨行发展的念头。虽然挑战重重，但这也是你打破常规、建立个人品牌的好机会。关键在于如何将才华转化为实际的成果，而非仅仅停留在口头表达上。","career","career_overview","describe","phase","cycle_background","description","癸未大运伤官见官，事业上易有求变之心，但也伴随挑战。","dayun:2025:癸未","dayun:2025:癸未","2025-02-15","2035-02-14","time:dayun:2025:癸未:interaction:dayun_to_natal:stem_control_clash:dayun::癸未__natal_pillar:hour:丁亥 | time:dayun:2025:癸未:interaction:dayun_to_natal:stem_control_clash:dayun::癸未__natal_pillar:month:丙戌"
"23","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","2","e11defd0-514a-458e-97bc-71fd571b0c7b","18","p3_diversity","什么样的伴侣最能触动你的心弦？","夫妻宫坐伤官且与时支相会，揭示了你对伴侣才华与灵性的追求。","你的日支（夫妻宫）坐子水伤官，这表明你在择偶时非常看重对方的聪明才智和沟通能力。你很难被平庸的人吸引，更倾向于那些有独特见解、甚至带有一点叛逆精神的异性。你渴望在一段关系中获得精神上的共鸣和智力上的挑战，这种对“灵魂伴侣”的追求是你情感世界的核心驱动力。","love","partner_fit","describe","baseline","baseline_pattern","description","日支坐子水伤官，内心渴望聪明、有才华且能产生精神共鸣的伴侣。","","","1995-11-05","","natal:pillar:day | natal:interaction:natal:branch_half_meeting:natal_pillar:day:庚子__natal_pillar:hour:丁亥"
"24","a995e89a-e26a-4892-b762-3c247f5b9121","2026-08-05T15:00:22+08:00","pool","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","3","c814fcc8-10d8-425a-8420-94365059fce5","22","p3_diversity","为何你总觉得自己在职场中被多双眼睛盯着？","官杀混杂且紧贴日主，决定了你对外界评价的高度敏感与自我要求。","在你的命盘中，月干丙火七杀与时干丁火正官分别位于日主两侧，形成一种“官杀包身”的格局。这让你在职场中不仅自我要求极高，也容易感受到来自上级、同事甚至竞争对手的多重压力。你常觉得自己必须做到完美才能安心。学会区分“必要的责任”与“过度的焦虑”，是你职场进阶的必修课。","career","decision_and_pressure","describe","baseline","baseline_pattern","description","原局庚金被丙丁火包围，职场中常面临多方期待与评价的压力。","","","1995-11-05","","natal:interaction:natal:stem_control_clash:natal_pillar:day:庚子__natal_pillar:hour:丁亥 | natal:interaction:natal:stem_control_clash:natal_pillar:day:庚子__natal_pillar:month:丙戌 | natal:pillar:hour"
"25","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","0","3c6dfa99-b978-4ab3-9ea9-f1b54d7eacd5","0","p1_mingli_change","这两天感情上会有小摩擦吗？","流月穿害夫妻宫，情绪容易波动，建议多点耐心。","当前流月乙未与你的日支子水构成子未相穿，这是一种内在的消耗与排斥。如果你正处于一段关系中，这两天可能会觉得对方不够理解自己，或者在生活细节上产生分歧。由于流年午火也在冲动子水，这种不安感会被放大。建议在沟通时先处理情绪，再处理问题，避免在疲惫时做决定。","love","conflict_and_repair","forecast","month","friction","conditional","流月未土穿害日支子水，若已有伴侣，本月最后两日需防范因琐事引发的冷战或言语冲撞。","liuyue:2026-07-07:乙未","liuyue:2026-07-07:乙未 | liunian:2026:丙午","2026-07-07","2026-08-06","time:liuyue:2026-07-07:乙未:interaction:liuyue_to_natal:branch_piercing:liuyue::乙未__natal_pillar:day:庚子 | time:liunian:2026:丙午:interaction:liunian_to_natal:branch_clash:liunian::丙午__natal_pillar:day:庚子"
